,World News
2014-12-28,53
2015-01-04,25
2015-01-11,41
2015-01-18,47
2015-01-25,39
2015-02-01,35
2015-02-08,37
2015-02-15,40
2015-02-22,100
2015-03-01,58
2015-03-08,83
2015-03-15,63
2015-03-22,56
2015-03-29,51
2015-04-05,47
2015-04-12,41
2015-04-19,45
2015-04-26,49
2015-05-03,40
2015-05-10,46
2015-05-17,46
2015-05-24,27
2015-05-31,36
2015-06-07,36
2015-06-14,25
2015-06-21,34
2015-06-28,26
2015-07-05,26
2015-07-12,29
2015-07-19,30
2015-07-26,37
2015-08-02,32
2015-08-09,32
2015-08-16,42
2015-08-23,34
2015-08-30,32
2015-09-06,36
2015-09-13,25
2015-09-20,37
2015-09-27,49
2015-10-04,47
2015-10-11,40
2015-10-18,55
2015-10-25,40
2015-11-01,44
2015-11-08,48
2015-11-15,40
2015-11-22,44
2015-11-29,26
2015-12-06,24
2015-12-13,34
2015-12-20,26
2015-12-27,31
2016-01-03,12
2016-01-10,25
2016-01-17,40
2016-01-24,41
2016-01-31,55
2016-02-07,41
2016-02-14,38
2016-02-21,33
2016-02-28,42
2016-03-06,50
2016-03-13,39
2016-03-20,37
2016-03-27,37
2016-04-03,49
2016-04-10,40
2016-04-17,40
2016-04-24,45
2016-05-01,24
2016-05-08,32
2016-05-15,43
2016-05-22,32
2016-05-29,29
2016-06-05,30
2016-06-12,29
2016-06-19,32
2016-06-26,38
2016-07-03,35
2016-07-10,41
2016-07-17,45
2016-07-24,31
2016-07-31,46
2016-08-07,36
2016-08-14,36
2016-08-21,44
2016-08-28,18
2016-09-04,24
2016-09-11,22
2016-09-18,18
2016-09-25,17
2016-10-02,16
2016-10-09,20
2016-10-16,11
2016-10-23,12
2016-10-30,11
2016-11-06,29
2016-11-13,12
2016-11-20,16
2016-11-27,0
2016-12-04,11
2016-12-11,0
2016-12-18,0
2016-12-25,20
2017-01-01,14
2017-01-08,0
2017-01-15,0
2017-01-22,10
2017-01-29,21
2017-02-05,24
2017-02-12,27
2017-02-19,35
2017-02-26,29
2017-03-05,35
2017-03-12,28
2017-03-19,29
2017-03-26,42
2017-04-02,47
2017-04-09,36
2017-04-16,46
2017-04-23,44
2017-04-30,48
2017-05-07,53
2017-05-14,40
2017-05-21,22
2017-05-28,30
2017-06-04,22
2017-06-11,29
2017-06-18,32
2017-06-25,20
2017-07-02,33
2017-07-09,33
2017-07-16,31
2017-07-23,26
2017-07-30,26
2017-08-06,29
2017-08-13,29
2017-08-20,36
2017-08-27,31
2017-09-03,32
2017-09-10,22
2017-09-17,27
2017-09-24,32
2017-10-01,24
2017-10-08,24
2017-10-15,26
2017-10-22,30
2017-10-29,22
2017-11-05,27
2017-11-12,25
2017-11-19,22
2017-11-26,27
2017-12-03,21
2017-12-10,0
2017-12-17,23
2017-12-24,26
2017-12-31,19
2018-01-07,22
2018-01-14,24
2018-01-21,32
2018-01-28,37
2018-02-04,83
2018-02-11,44
2018-02-18,28
2018-02-25,47
2018-03-04,41
2018-03-11,43
2018-03-18,31
2018-03-25,30
2018-04-01,33
2018-04-08,49
2018-04-15,35
2018-04-22,26
2018-04-29,26
2018-05-06,37
2018-05-13,23
2018-05-20,24
2018-05-27,20
2018-06-03,19
2018-06-10,16
2018-06-17,16
2018-06-24,30
2018-07-01,28
2018-07-08,47
2018-07-15,33
2018-07-22,23
2018-07-29,31
2018-08-05,38
2018-08-12,20
2018-08-19,18
2018-08-26,28
2018-09-02,26
2018-09-09,40
2018-09-16,34
2018-09-23,74
2018-09-30,42
2018-10-07,29
2018-10-14,36
2018-10-21,41
2018-10-28,45
2018-11-04,29
2018-11-11,51
2018-11-18,36
2018-11-25,24
2018-12-02,26
2018-12-09,34
2018-12-16,23
2018-12-23,28
2018-12-30,22
2019-01-06,23
2019-01-13,27
2019-01-20,29
2019-01-27,30
2019-02-03,36
2019-02-10,41
2019-02-17,45
2019-02-24,88
2019-03-03,43
2019-03-10,36
2019-03-17,53
2019-03-24,44
2019-03-31,47
2019-04-07,35
2019-04-14,27
2019-04-21,44
2019-04-28,19
2019-05-05,18
2019-05-12,29
2019-05-19,20
2019-05-26,17
2019-06-02,18
2019-06-09,28
2019-06-16,28
2019-06-23,21
2019-06-30,27
2019-07-07,33
2019-07-14,20
2019-07-21,21
2019-07-28,28
2019-08-04,28
2019-08-11,35
2019-08-18,28
2019-08-25,26
2019-09-01,29
2019-09-08,30
2019-09-15,29
2019-09-22,26
2019-09-29,37
2019-10-06,34
2019-10-13,32
2019-10-20,28
2019-10-27,33
2019-11-03,32
2019-11-10,26
2019-11-17,27
2019-11-24,34
2019-12-01,21
2019-12-08,25
2019-12-15,29
2019-12-22,35
2019-12-29,29
2020-01-05,37
