,Actual_GDP,Predicted_GDP
2016-03-31,11.3,4.1823925548388114
2016-06-30,0.9,4.007530440477314
2016-09-30,0.9,3.5453357646841606
2016-12-31,5.1,4.617523252615982
2017-03-31,0.8,4.2787030265677055
2017-06-30,1.6,2.5420233878064673
2017-09-30,3.5,2.9729985230377207
2017-12-31,5.7,0.1146843933889663
2018-03-31,3.4,1.2674985632972788
2018-06-30,0.4,1.2832461188900899
2018-09-30,1.3,0.6673370049569711
2018-12-31,0.5,1.2293162423124286
2019-03-31,4.4,0.6971897471101944
2019-06-30,0.1,-0.8447078497410496
2019-09-30,0.8,1.5785707216460154
2019-12-31,2.4,3.6033920871876055
2020-03-31,1.4,5.035541585290666
2020-06-30,33.4,0.8231823910582363
2020-09-30,1.3,8.27971628663162
2020-12-31,1.4,3.6080631639881795
2021-03-31,1.6,1.3105701495080462
2021-06-30,6.8,-5.571201415815121
2021-09-30,3.7,-0.6894799820291837
2021-12-31,1.1,1.4733239789210537
2022-03-31,3.6,5.451944464098038
2022-06-30,0.4,0.5189124929621269
2022-09-30,0.0,3.263848442623497
2022-12-31,4.8,1.7400787106061013
2023-03-31,0.7,2.603646957881006
2023-06-30,0.3,3.6921476350936375
2023-09-30,0.0,1.9911370379796374
2023-12-31,0.1,3.132262924571595
2024-03-31,1.3,2.015760542689793
2024-06-30,0.8,2.396937458688484
2024-09-30,1.5,3.9097048503270164
2024-12-31,2.0,5.110156150209125
2025-03-31,0.7,4.657217275129797
2025-06-30,1.2,4.808382414662869
2025-09-30,1.3,4.5728860941362734
